Condition,Data Type,Geography,Sex,Age group type,Prevalence_Age_Group,Fiscal year,Prevalence_Rate,Standard Error,Prevalence_Lower_CI,Prevalence_Upper_CI,Rate CV (%),Case counts,Population_disease,Primary_Specialty,Secondary_Specialty,Mapping_Type,Mapping_Rationale,Province,Specialty,Population_market,Physician_Count,Physicians_per_100k,Service_Volume,Services_per_Physician,Market_Activity_Index,Incidence_Rate,Incidence_Age_Group,Incidence_Lower_CI,Incidence_Upper_CI,Incidence_Evidence_Status,Market_Evidence_Status,Prevalence_Percentile,Geographic_Prevalence_Signal,Market_Activity_Percentile
Autism,Age-standardized prevalence,British Columbia,Both sexes,Total,1–19,2023–2024,2.93,0.0168,2.89,2.96,0.57,30480.0,1037775.0,Pediatrics,Psychiatry,Multi_specialty,Relevant to pediatric care with additional psychiatric and behavioral health relevance,British Columbia,Pediatrics,5585500,496,8.88013606660102,483831.0,975.4657258064516,0.46860751947819196,,,,,Not_available_for_condition,Available,0.9,High relative prevalence,0.6136363636363636
Autism,Age-standardized prevalence,Yukon,Both sexes,Total,1–19,2023–2024,1.44,0.1257,1.2,1.71,8.74,130.0,9160.0,Pediatrics,Psychiatry,Multi_specialty,Relevant to pediatric care with additional psychiatric and behavioral health relevance,Yukon,Pediatrics,45700,3,6.564551422319474,26.0,8.666666666666666,0.004163411446828034,,,,,Not_available_for_condition,Available,0.2,Lower relative prevalence,0.06818181818181818
Autism,Age-standardized prevalence,Northwest Territories,Both sexes,Total,1–19,2023–2024,1.71,0.124,1.47,1.97,7.26,190.0,11050.0,Pediatrics,Psychiatry,Multi_specialty,Relevant to pediatric care with additional psychiatric and behavioral health relevance,Northwest Territories,Pediatrics,44300,3,6.772009029345373,,,,,,,,Not_available_for_condition,Unavailable_due_to_service_volume,0.4,Lower relative prevalence,
Autism,Age-standardized prevalence,Nunavut,Both sexes,Total,1–19,2023–2024,,,,,,,,Pediatrics,Psychiatry,Multi_specialty,Relevant to pediatric care with additional psychiatric and behavioral health relevance,Nunavut,Pediatrics,40900,2,4.88997555012225,,,,,,,,Not_available_for_condition,Unavailable_due_to_service_volume,,Evidence unavailable,
"Parkinsonism, including Parkinson disease",Age-standardized prevalence,Newfoundland and Labrador,Both sexes,Total,40+,2023–2024,0.35,0.0098,0.33,0.37,2.78,1320.0,332775.0,Neurology,,Direct,Neurologic condition primarily associated with neurology,Newfoundland and Labrador,Neurology,540500,12,2.2201665124884364,12144.0,1012.0,0.4861583520219197,42.0,40+,36.0,49.0,Available,Available,0.3181818181818182,Lower relative prevalence,0.56
"Parkinsonism, including Parkinson disease",Age-standardized prevalence,Prince Edward Island,Both sexes,Total,40+,2023–2024,0.36,0.0187,0.33,0.4,5.16,380.0,95115.0,Neurology,,Direct,Neurologic condition primarily associated with neurology,Prince Edward Island,Neurology,175800,3,1.706484641638225,0.0,0.0,0.0,43.0,40+,31.0,57.0,Available,Available,0.45454545454545453,Lower relative prevalence,0.06
"Parkinsonism, including Parkinson disease",Age-standardized prevalence,Nova Scotia,Both sexes,Total,40+,2023–2024,0.35,0.007,0.34,0.37,1.99,2540.0,651240.0,Neurology,,Direct,Neurologic condition primarily associated with neurology,Nova Scotia,Neurology,1056200,33,3.124408256012119,13474.0,408.3030303030303,0.19614617424671657,47.0,40+,42.0,52.0,Available,Available,0.3181818181818182,Lower relative prevalence,0.16
"Parkinsonism, including Parkinson disease",Age-standardized prevalence,New Brunswick,Both sexes,Total,40+,2023–2024,,,,,,,,Neurology,,Direct,Neurologic condition primarily associated with neurology,New Brunswick,Neurology,835000,23,2.754491017964072,13623.0,592.304347826087,0.2845392348167474,,40+,,,Unavailable_for_geography,Available,,Evidence unavailable,0.26
"Parkinsonism, including Parkinson disease",Age-standardized prevalence,Quebec,Both sexes,Total,40+,2023–2024,0.45,0.0029,0.44,0.45,0.65,24280.0,4819585.0,Neurology,,Direct,Neurologic condition primarily associated with neurology,Quebec,Neurology,8903100,290,3.257292403769473,590742.0,2037.0413793103448,0.978581699571122,53.0,40+,51.0,55.0,Available,Available,0.5909090909090909,Moderate relative prevalence,0.86
"Parkinsonism, including Parkinson disease",Age-standardized prevalence,Ontario,Both sexes,Total,40+,2023–2024,0.56,0.0025,0.56,0.57,0.44,51015.0,8576015.0,Neurology,,Direct,Neurologic condition primarily associated with neurology,Ontario,Neurology,15788400,502,3.1795495427022376,967625.0,1927.5398406374504,0.92597785808389,75.0,40+,73.0,77.0,Available,Available,0.9090909090909091,High relative prevalence,0.76
"Parkinsonism, including Parkinson disease",Age-standardized prevalence,Manitoba,Both sexes,Total,40+,2023–2024,0.58,0.0089,0.56,0.6,1.53,4285.0,720450.0,Neurology,,Direct,Neurologic condition primarily associated with neurology,Manitoba,Neurology,1461000,43,2.943189596167009,89819.0,2088.813953488372,1.0034529143362627,74.0,40+,68.0,81.0,Available,Available,1.0,High relative prevalence,0.96
"Parkinsonism, including Parkinson disease",Age-standardized prevalence,Saskatchewan,Both sexes,Total,40+,2023–2024,0.45,0.0085,0.43,0.47,1.89,2815.0,622085.0,Neurology,,Direct,Neurologic condition primarily associated with neurology,Saskatchewan,Neurology,1217700,35,2.874271166954094,32112.0,917.4857142857144,0.4407542913644237,61.0,40+,55.0,67.0,Available,Available,0.5909090909090909,Moderate relative prevalence,0.46
"Parkinsonism, including Parkinson disease",Age-standardized prevalence,Alberta,Both sexes,Total,40+,2023–2024,0.49,0.0046,0.48,0.5,0.95,11175.0,2559660.0,Neurology,,Direct,Neurologic condition primarily associated with neurology,Alberta,Neurology,4734700,206,4.350856442858047,187727.0,911.2961165048544,0.4377808480276436,66.0,40+,63.0,70.0,Available,Available,0.7272727272727273,Moderate relative prevalence,0.36
"Parkinsonism, including Parkinson disease",Age-standardized prevalence,British Columbia,Both sexes,Total,40+,2023–2024,0.51,0.0039,0.5,0.52,0.77,17215.0,3057510.0,Neurology,,Direct,Neurologic condition primarily associated with neurology,British Columbia,Neurology,5585500,233,4.171515531286366,256049.0,1098.9227467811158,0.5279154857455619,71.0,40+,68.0,74.0,Available,Available,0.8181818181818182,High relative prevalence,0.66
"Parkinsonism, including Parkinson disease",Age-standardized prevalence,Yukon,Both sexes,Total,40+,2023–2024,,,,,,,,Neurology,,Direct,Neurologic condition primarily associated with neurology,Yukon,Neurology,45700,0,0.0,,,,,40+,,,Unavailable_for_geography,Unavailable_due_to_service_volume,,Evidence unavailable,
"Parkinsonism, including Parkinson disease",Age-standardized prevalence,Northwest Territories,Both sexes,Total,40+,2023–2024,0.28,0.0464,0.2,0.4,16.47,40.0,19890.0,Neurology,,Direct,Neurologic condition primarily associated with neurology,Northwest Territories,Neurology,44300,0,0.0,,,,,40+,,,Unavailable_for_geography,Unavailable_due_to_service_volume,0.09090909090909091,Lower relative prevalence,
"Parkinsonism, including Parkinson disease",Age-standardized prevalence,Nunavut,Both sexes,Total,40+,2023–2024,0.31,0.0738,0.19,0.57,23.6,20.0,13170.0,Neurology,,Direct,Neurologic condition primarily associated with neurology,Nunavut,Neurology,40900,0,0.0,,,,,40+,,,Unavailable_for_geography,Unavailable_due_to_service_volume,0.18181818181818182,Lower relative prevalence,
Multiple sclerosis,Age-standardized prevalence,Newfoundland and Labrador,Both sexes,Total,20+,2023–2024,0.19,0.0064,0.18,0.2,3.36,905.0,456840.0,Neurology,,Direct,Neurologic condition primarily associated with neurology,Newfoundland and Labrador,Neurology,540500,12,2.2201665124884364,12144.0,1012.0,0.4861583520219197,10.0,20+,7.0,14.0,Available,Available,0.2,Lower relative prevalence,0.56
Multiple sclerosis,Age-standardized prevalence,Prince Edward Island,Both sexes,Total,20+,2023–2024,0.3,0.0144,0.27,0.32,4.87,430.0,144770.0,Neurology,,Direct,Neurologic condition primarily associated with neurology,Prince Edward Island,Neurology,175800,3,1.706484641638225,0.0,0.0,0.0,12.0,20+,7.0,20.0,Available,Available,0.6,Moderate relative prevalence,0.06
Multiple sclerosis,Age-standardized prevalence,Nova Scotia,Both sexes,Total,20+,2023–2024,0.34,0.0059,0.33,0.35,1.74,3320.0,950930.0,Neurology,,Direct,Neurologic condition primarily associated with neurology,Nova Scotia,Neurology,1056200,33,3.124408256012119,13474.0,408.3030303030303,0.19614617424671657,12.0,20+,10.0,15.0,Available,Available,0.9,High relative prevalence,0.16
Multiple sclerosis,Age-standardized prevalence,New Brunswick,Both sexes,Total,20+,2023–2024,,,,,,,,Neurology,,Direct,Neurologic condition primarily associated with neurology,New Brunswick,Neurology,835000,23,2.754491017964072,13623.0,592.304347826087,0.2845392348167474,,20+,,,Unavailable_for_geography,Available,,Evidence unavailable,0.26
Multiple sclerosis,Age-standardized prevalence,Quebec,Both sexes,Total,20+,2023–2024,,,,,,,,Neurology,,Direct,Neurologic condition primarily associated with neurology,Quebec,Neurology,8903100,290,3.257292403769473,590742.0,2037.0413793103448,0.978581699571122,,20+,,,Unavailable_for_geography,Available,,Evidence unavailable,0.86
Multiple sclerosis,Age-standardized prevalence,Ontario,Both sexes,Total,20+,2023–2024,0.28,0.0015,0.28,0.28,0.52,36640.0,13234785.0,Neurology,,Direct,Neurologic condition primarily associated with neurology,Ontario,Neurology,15788400,502,3.1795495427022376,967625.0,1927.5398406374504,0.92597785808389,13.0,20+,13.0,14.0,Available,Available,0.45,Lower relative prevalence,0.76
Multiple sclerosis,Age-standardized prevalence,Manitoba,Both sexes,Total,20+,2023–2024,0.31,0.0053,0.29,0.32,1.73,3380.0,1151155.0,Neurology,,Direct,Neurologic condition primarily associated with neurology,Manitoba,Neurology,1461000,43,2.943189596167009,89819.0,2088.813953488372,1.0034529143362627,11.0,20+,10.0,14.0,Available,Available,0.7,Moderate relative prevalence,0.96
Multiple sclerosis,Age-standardized prevalence,Saskatchewan,Both sexes,Total,20+,2023–2024,0.37,0.0063,0.36,0.38,1.7,3500.0,991790.0,Neurology,,Direct,Neurologic condition primarily associated with neurology,Saskatchewan,Neurology,1217700,35,2.874271166954094,32112.0,917.4857142857144,0.4407542913644237,12.0,20+,10.0,15.0,Available,Available,1.0,High relative prevalence,0.46
Multiple sclerosis,Age-standardized prevalence,Alberta,Both sexes,Total,20+,2023–2024,0.33,0.0029,0.32,0.33,0.89,13045.0,4147820.0,Neurology,,Direct,Neurologic condition primarily associated with neurology,Alberta,Neurology,4734700,206,4.350856442858047,187727.0,911.2961165048544,0.4377808480276436,13.0,20+,12.0,14.0,Available,Available,0.8,High relative prevalence,0.36
Multiple sclerosis,Age-standardized prevalence,British Columbia,Both sexes,Total,20+,2023–2024,0.28,0.0025,0.28,0.29,0.87,13270.0,4767370.0,Neurology,,Direct,Neurologic condition primarily associated with neurology,British Columbia,Neurology,5585500,233,4.171515531286366,256049.0,1098.9227467811158,0.5279154857455619,13.0,20+,12.0,15.0,Available,Available,0.45,Lower relative prevalence,0.66
Multiple sclerosis,Age-standardized prevalence,Yukon,Both sexes,Total,20+,2023–2024,,,,,,,,Neurology,,Direct,Neurologic condition primarily associated with neurology,Yukon,Neurology,45700,0,0.0,,,,,20+,,,Unavailable_for_geography,Unavailable_due_to_service_volume,,Evidence unavailable,
Multiple sclerosis,Age-standardized prevalence,Northwest Territories,Both sexes,Total,20+,2023–2024,0.22,0.0269,0.17,0.29,12.14,70.0,33580.0,Neurology,,Direct,Neurologic condition primarily associated with neurology,Northwest Territories,Neurology,44300,0,0.0,,,,,20+,,,Unavailable_for_geography,Unavailable_due_to_service_volume,0.3,Lower relative prevalence,
Multiple sclerosis,Age-standardized prevalence,Nunavut,Both sexes,Total,20+,2023–2024,0.07,0.0205,0.04,0.2,28.33,15.0,26365.0,Neurology,,Direct,Neurologic condition primarily associated with neurology,Nunavut,Neurology,40900,0,0.0,,,,,20+,,,Unavailable_for_geography,Unavailable_due_to_service_volume,0.1,Lower relative prevalence,
Epilepsy,Age-standardized prevalence,Newfoundland and Labrador,Both sexes,Total,1+,2023–2024,1.13,0.0142,1.1,1.15,1.26,6570.0,550540.0,Neurology,Pediatrics,Multi_specialty,Neurologic condition with relevance to pediatric care because epilepsy also occurs in children,Newfoundland and Labrador,Neurology,540500,12,2.2201665124884364,12144.0,1012.0,0.4861583520219197,65.0,1+,59.0,73.0,Available,Available,0.9090909090909091,High relative prevalence,0.56
Epilepsy,Age-standardized prevalence,Prince Edward Island,Both sexes,Total,1+,2023–2024,0.82,0.0214,0.78,0.87,2.6,1495.0,178460.0,Neurology,Pediatrics,Multi_specialty,Neurologic condition with relevance to pediatric care because epilepsy also occurs in children,Prince Edward Island,Neurology,175800,3,1.706484641638225,0.0,0.0,0.0,60.0,1+,49.0,72.0,Available,Available,0.2727272727272727,Lower relative prevalence,0.06
Epilepsy,Age-standardized prevalence,Nova Scotia,Both sexes,Total,1+,2023–2024,0.73,0.0079,0.71,0.74,1.09,8595.0,1149030.0,Neurology,Pediatrics,Multi_specialty,Neurologic condition with relevance to pediatric care because epilepsy also occurs in children,Nova Scotia,Neurology,1056200,33,3.124408256012119,13474.0,408.3030303030303,0.19614617424671657,41.0,1+,38.0,45.0,Available,Available,0.09090909090909091,Lower relative prevalence,0.16
Epilepsy,Age-standardized prevalence,New Brunswick,Both sexes,Total,1+,2023–2024,,,,,,,,Neurology,Pediatrics,Multi_specialty,Neurologic condition with relevance to pediatric care because epilepsy also occurs in children,New Brunswick,Neurology,835000,23,2.754491017964072,13623.0,592.304347826087,0.2845392348167474,,1+,,,Unavailable_for_geography,Available,,Evidence unavailable,0.26
Epilepsy,Age-standardized prevalence,Quebec,Both sexes,Total,1+,2023–2024,,,,,,,,Neurology,Pediatrics,Multi_specialty,Neurologic condition with relevance to pediatric care because epilepsy also occurs in children,Quebec,Neurology,8903100,290,3.257292403769473,590742.0,2037.0413793103448,0.978581699571122,,1+,,,Unavailable_for_geography,Available,,Evidence unavailable,0.86
Epilepsy,Age-standardized prevalence,Ontario,Both sexes,Total,1+,2023–2024,1.02,0.0025,1.02,1.03,0.24,168800.0,16398910.0,Neurology,Pediatrics,Multi_specialty,Neurologic condition with relevance to pediatric care because epilepsy also occurs in children,Ontario,Neurology,15788400,502,3.1795495427022376,967625.0,1927.5398406374504,0.92597785808389,63.0,1+,62.0,64.0,Available,Available,0.7272727272727273,Moderate relative prevalence,0.76
Epilepsy,Age-standardized prevalence,Manitoba,Both sexes,Total,1+,2023–2024,0.87,0.0077,0.85,0.88,0.89,12725.0,1501930.0,Neurology,Pediatrics,Multi_specialty,Neurologic condition with relevance to pediatric care because epilepsy also occurs in children,Manitoba,Neurology,1461000,43,2.943189596167009,89819.0,2088.813953488372,1.0034529143362627,66.0,1+,62.0,71.0,Available,Available,0.45454545454545453,Lower relative prevalence,0.96
Epilepsy,Age-standardized prevalence,Saskatchewan,Both sexes,Total,1+,2023–2024,0.86,0.0083,0.84,0.87,0.97,10860.0,1308595.0,Neurology,Pediatrics,Multi_specialty,Neurologic condition with relevance to pediatric care because epilepsy also occurs in children,Saskatchewan,Neurology,1217700,35,2.874271166954094,32112.0,917.4857142857144,0.4407542913644237,45.0,1+,41.0,49.0,Available,Available,0.36363636363636365,Lower relative prevalence,0.46
Epilepsy,Age-standardized prevalence,Alberta,Both sexes,Total,1+,2023–2024,0.93,0.0043,0.92,0.94,0.46,48340.0,5351835.0,Neurology,Pediatrics,Multi_specialty,Neurologic condition with relevance to pediatric care because epilepsy also occurs in children,Alberta,Neurology,4734700,206,4.350856442858047,187727.0,911.2961165048544,0.4377808480276436,56.0,1+,54.0,58.0,Available,Available,0.5454545454545454,Moderate relative prevalence,0.36
Epilepsy,Age-standardized prevalence,British Columbia,Both sexes,Total,1+,2023–2024,0.94,0.004,0.93,0.95,0.43,55505.0,5805150.0,Neurology,Pediatrics,Multi_specialty,Neurologic condition with relevance to pediatric care because epilepsy also occurs in children,British Columbia,Neurology,5585500,233,4.171515531286366,256049.0,1098.9227467811158,0.5279154857455619,70.0,1+,68.0,72.0,Available,Available,0.6363636363636364,Moderate relative prevalence,0.66
Epilepsy,Age-standardized prevalence,Yukon,Both sexes,Total,1+,2023–2024,0.81,0.0423,0.73,0.9,5.2,385.0,46975.0,Neurology,Pediatrics,Multi_specialty,Neurologic condition with relevance to pediatric care because epilepsy also occurs in children,Yukon,Neurology,45700,0,0.0,,,,64.0,1+,43.0,95.0,Available,Unavailable_due_to_service_volume,0.18181818181818182,Lower relative prevalence,
Epilepsy,Age-standardized prevalence,Northwest Territories,Both sexes,Total,1+,2023–2024,1.07,0.0532,0.97,1.19,4.98,440.0,44630.0,Neurology,Pediatrics,Multi_specialty,Neurologic condition with relevance to pediatric care because epilepsy also occurs in children,Northwest Territories,Neurology,44300,0,0.0,,,,82.0,1+,56.0,128.0,Available,Unavailable_due_to_service_volume,0.8181818181818182,High relative prevalence,
Epilepsy,Age-standardized prevalence,Nunavut,Both sexes,Total,1+,2023–2024,1.91,0.0789,1.76,2.11,4.13,745.0,42260.0,Neurology,Pediatrics,Multi_specialty,Neurologic condition with relevance to pediatric care because epilepsy also occurs in children,Nunavut,Neurology,40900,0,0.0,,,,86.0,1+,58.0,187.0,Available,Unavailable_due_to_service_volume,1.0,High relative prevalence,
"Dementia, including Alzheimer disease",Age-standardized prevalence,Newfoundland and Labrador,Both sexes,Total,65+,2023–2024,4.13,0.0576,4.02,4.24,1.39,5285.0,137725.0,Neurology,Psychiatry,Multi_specialty,Neurologic condition with additional behavioral and psychiatric management relevance,Newfoundland and Labrador,Neurology,540500,12,2.2201665124884364,12144.0,1012.0,0.4861583520219197,1193.0,65+,1131.0,1258.0,Available,Available,0.16666666666666666,Lower relative prevalence,0.56
"Dementia, including Alzheimer disease",Age-standardized prevalence,Prince Edward Island,Both sexes,Total,65+,2023–2024,5.18,0.1169,4.95,5.41,2.26,1970.0,38060.0,Neurology,Psychiatry,Multi_specialty,Neurologic condition with additional behavioral and psychiatric management relevance,Prince Edward Island,Neurology,175800,3,1.706484641638225,0.0,0.0,0.0,1153.0,65+,1042.0,1273.0,Available,Available,0.5,Moderate relative prevalence,0.06
